Producto1Cantidad,Producto2Cantidad,Producto3Cantidad,CiudadSucursal,ClienteNombre,DescuentoVenta,DireccionCliente,EdadCliente,EmailCliente,Año,Trimestre,Mes,Día,GeneroCliente,HoraVenta,Producto2Marca,Producto3Marca,MetodoPago,Producto1Nombre,Producto2Nombre,Producto3Nombre,Producto1Marca,Producto1PrecioUnitario,Producto2PrecioUnitario,Producto3PrecioUnitario,Producto1Subtotal,Producto2Subtotal,Producto3Subtotal,SucursalNombre,TelefonoCliente,TotalVenta,VendedorNombre,VentaID,AñoVenta,EmailValido,MesNumero,MesVenta
1,0,0,Bogota,Aarón del Márquez,0,cll 52 #49-31,32,"",2016,Qtr 4,diciembre,21,M,1899-12-30 17:53:45,"","",No especificado,Dell Alienware m15,"","",Dell,8000000,0,0,8000000,0,0,TechCore Bogota #1,'+34 806 97 55 19,80000000,Evaristo Guillen Peña,7386,2016,true,12,diciembre
1,0,0,Bogota,Aarón Herrera Tello,1,cll 2 #72-64,37,aarón11@hotmail.com,2018,Qtr 4,diciembre,6,M,1899-12-30 15:02:36,"","",Tarjeta Crédito,HP Spectre x360,"","",HP,5200000,0,0,5200000,0,0,TechCore Bogota #1,'+34 826 474 028,46800000,Poncio Gabriel Poza Acedo,28232,2018,true,12,diciembre
1,0,0,Bogota,Aarón Luna Nicolau,0,cll 79 #71-25,29,aarón82@yahoo.com,2021,Qtr 1,febrero,2,M,1899-12-30 09:17:40,"","",Tarjeta Crédito,HP Spectre x360,"","",HP,5200000,0,0,5200000,0,0,TechCore Bogota #2,'+34925 79 10 06,52000000,Herminia Meléndez-Huguet,11989,2021,true,2,febrero
1,0,0,Bogota,Aarón Sevilla García,0,cll 92 #62-21,28,aarón78@yahoo.com,2025,Qtr 2,mayo,13,M,1899-12-30 09:40:24,"","",Efectivo,Lenovo IdeaPad 5,"","",Lenovo,2800000,0,0,2800000,0,0,TechCore Bogota #1,'+34 876 688 797,28000000,Aura del Bermúdez,19343,2025,true,5,mayo
1,0,0,Bogota,Abel Blanes,1,cra 68 #62-54,48,"",2020,Qtr 4,diciembre,27,M,1899-12-30 16:35:16,"","",Tarjeta Crédito,HP Spectre x360,"","",HP,5200000,0,0,5200000,0,0,TechCore Bogota #1,'+34942482140,46800000,María Belén Alegria Camps,3666,2020,true,12,diciembre
1,0,0,Bogota,Abel Casanova Luque,1,cra 30 #11-30,47,abel8@gmail.com,2019,Qtr 1,enero,22,M,1899-12-30 00:00:31,"","",Tarjeta Crédito,Acer Swift 3,"","",Acer,2600000,0,0,2600000,0,0,TechCore Bogota #1,'+34 982929881,23400000,María Belén Alegria Camps,1012,2019,true,1,enero
1,0,0,Bogota,Abel Coloma Villa,0,cra 63 #71-8,22,abel81@hotmail.com,2023,Qtr 2,junio,7,M,1899-12-30 17:36:48,"","",Tarjeta Crédito,Lenovo ThinkPad X1 Carbon,"","",Lenovo,6800000,0,0,6800000,0,0,TechCore Bogota #2,'+34 981 944 604,68000000,Herminia Meléndez-Huguet,26419,2023,true,6,junio
1,0,0,Bogota,Abel del Rivera,5,cra 91 #62-19,48,abel93@yahoo.com,2019,Qtr 1,marzo,31,M,1899-12-30 23:56:32,"","",Tarjeta Crédito,Dell Inspiron 15,"","",Dell,3000000,0,0,3000000,0,0,TechCore Bogota #1,'+34846 702 491,28500000,Poncio Gabriel Poza Acedo,27840,2019,true,3,marzo
1,0,0,Bogota,Abel Medina Belmonte,0,cll 63 #22-30,35,"",2024,Qtr 4,noviembre,16,M,1899-12-30 14:49:55,"","",Tarjeta Crédito,Acer Aspire 5,"","",Acer,2000000,0,0,2000000,0,0,TechCore Bogota #2,'+34 739388018,20000000,Eloísa Plaza Hurtado,20290,2024,true,11,noviembre
1,0,0,Bogota,Abel Perera Teruel,5,cra 4 #45-64,41,abel22@gmail.com,2025,Qtr 3,julio,31,M,1899-12-30 10:16:18,"","",Tarjeta Débito,HP Spectre x360,"","",HP,5200000,0,0,5200000,0,0,TechCore Bogota #2,'+34 943 23 06 07,49400000,Edu Juan Pedraza,16336,2025,true,7,julio
